,index,raceId,circuitId,driverId,constructorId,grid,fastestLapSpeed_classes,positionOrder,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,year,round,driverPoints,driverStandingPosition,driverWins,constructorPoints,constructorStandingPosition,constructorWins,class20,index,proba_1,proba_2,proba_3,proba_4,proba_5,proba_6,proba_7,proba_8,proba_9,proba_10,proba_11,proba_12,proba_13,proba_14,proba_15,proba_16,proba_17,proba_18,proba_19,proba_20
0,350,860,1,18.0,1.0,2.0,2.0,1.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.3490520076957961,0.10502509150332713,0.07596488680973068,0.09247550663312532,0.06303441631728644,0.035783662719992664,0.034380648587187625,0.024046872779669003,0.020311084777076892,0.035253026208161564,0.014641720120090384,0.016487818085813507,0.018487666283901326,0.01717464932778406,0.021251169295201225,0.01611712495961489,0.011599492730665305,0.014829964316006378,0.013514390430512224,0.02056880041905736
1,351,860,1,20.0,9.0,6.0,2.0,2.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.2418601522240343,0.09094406850097038,0.0773761630184857,0.10249893936674788,0.07555795813644647,0.046848949439301346,0.04867942673758707,0.034603944071705375,0.027197127400617888,0.05030739758797716,0.02156646567689202,0.023986481711391713,0.025870988032145752,0.02400523783320361,0.027645021170724683,0.019595186092459763,0.013120760790579864,0.01565925910210434,0.013777599040144969,0.018898874066479728
2,352,860,1,1.0,1.0,1.0,2.0,3.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.37195308777173836,0.10871980457947901,0.07572718987466821,0.09047333656366045,0.06077488841950594,0.03331613877759556,0.03130742629367798,0.021735331897639334,0.01845685030651851,0.031952110450714936,0.013262123521040258,0.014907778115777186,0.01686851220000551,0.01559698589915475,0.019822480465169434,0.01519337573553579,0.011129544267989441,0.014536050332972677,0.013316144881297759,0.020950839645858855
3,353,860,1,17.0,9.0,5.0,2.0,4.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.2696449699003281,0.09460801413013828,0.07726037030122798,0.10023636520326537,0.07262546097729952,0.04385495046880082,0.04464592828337956,0.0316046088603734,0.025212711828164876,0.045984444542583644,0.01966932629860837,0.021971752500170423,0.023861964833557504,0.02218833125029509,0.02610231754745816,0.01879542719016898,0.012848520918512366,0.015593212673320117,0.013806053325526244,0.019485268966821102
4,354,860,1,4.0,6.0,12.0,2.0,5.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0.10180418464466186,0.06565138712355685,0.07207189898012341,0.10909492401584542,0.08937965445175555,0.06396919350443855,0.07469554805548863,0.05402021989150261,0.038133303681248655,0.07871240207905142,0.0340031033256886,0.03627687856828763,0.03796707858617742,0.03398830439439665,0.0348333712115735,0.02221424002514258,0.012958474481850802,0.014167370752583685,0.012019284754503451,0.01403917747212274
5,355,860,1,155.0,15.0,13.0,2.0,6.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0.06871113227955075,0.05747861300960607,0.06643199391048096,0.10065997406068053,0.08281272414320279,0.06526099158320436,0.07925893760925104,0.06001998239888403,0.04648837420373146,0.08475601384108412,0.03692629476866057,0.042361332808524096,0.04247007969722433,0.041019355114937955,0.0394925099887453,0.025984145251252387,0.015559323166306977,0.015944430411574766,0.013504266975667478,0.014859524777430074
6,356,860,1,8.0,208.0,17.0,2.0,7.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,6,6,0.01611205447894474,0.034669524105110525,0.051971887667438564,0.08774482772591226,0.09634286678191784,0.056960586389458445,0.0705019228860974,0.05562517480534039,0.03225263663187992,0.0681236041811429,0.050837456937761115,0.06955179990532004,0.04985975183271406,0.05775043480037674,0.069782722901058,0.039437044502921514,0.028440310182587625,0.025686048307989824,0.017008870153226115,0.02134047482280208
7,357,860,1,815.0,15.0,22.0,2.0,8.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,7,7,0.0038877650572648865,0.01616029403691708,0.02871273638409292,0.04852919868557688,0.04303135537795405,0.06221329164632537,0.09840921940633061,0.09059630156974861,0.10356631489006937,0.11524334678201979,0.04821202643636219,0.06896378695204151,0.059895713641151635,0.07514244884617963,0.048839526789101285,0.033871441228061926,0.01951241124642636,0.014285470256169039,0.012138956175452766,0.008788394592754078
8,358,860,1,817.0,5.0,10.0,2.0,9.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,7,8,0.05481312196808765,0.05429984875624788,0.05551707661911394,0.07043592698474824,0.04986475598557549,0.05399889958195627,0.0688103088822675,0.06098225152337772,0.08369009436196524,0.0781965346149062,0.03100944144430825,0.04734574979644214,0.044124220329055865,0.05829891476956752,0.046219476240888444,0.03978850576697125,0.029106342852048623,0.025715251464999846,0.023973414961214086,0.023809863096257898
9,359,860,1,814.0,10.0,15.0,2.0,10.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,8,9,0.018904825007411717,0.034073396848520766,0.0437501468279912,0.06255761615462749,0.048706566202313686,0.05940169914232992,0.08308071796435093,0.07465629753740582,0.0947056531307047,0.09551792701843333,0.03869027393245437,0.057519868212553615,0.05195259762945357,0.06724945534741229,0.04913254367973296,0.038613231310917207,0.025588341405256232,0.020890312086440477,0.018722917158271863,0.016285613403417915
10,360,860,1,818.0,5.0,11.0,2.0,11.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,9,10,0.044724985236111216,0.04979804064018324,0.0532458233124027,0.06917156451802177,0.049848365782379,0.055423423933083374,0.07201624326112686,0.06398113172558109,0.08660621503027745,0.08207331661017933,0.03258296291997704,0.04945141037614669,0.045859208358118894,0.06031390428110982,0.04695862964274897,0.03971712141286808,0.02844904558992748,0.024740778338468276,0.02291440855472662,0.022123420476562156
11,361,860,1,3.0,131.0,7.0,2.0,12.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,10,11,0.15385741532431246,0.0822377347247083,0.07616633105518406,0.10281885280680922,0.08730433350065625,0.04523567491436464,0.04656719015383787,0.03476816539145845,0.024688435381123985,0.045452895208406986,0.027113697582248263,0.03503949273492422,0.030677739317532333,0.03322866603968504,0.044097463759859866,0.02987371625655394,0.023668065920880076,0.026173266028780652,0.020080598827153854,0.030950265071519593
12,362,860,1,813.0,3.0,8.0,2.0,13.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,11,12,0.08185729097338136,0.06393595059720757,0.05975761905823575,0.07237703222220923,0.04934642821998399,0.05079711918691985,0.06223005553600582,0.05482569332574516,0.07730656788215026,0.07038750564110127,0.027711860099600923,0.04268847682401398,0.04031954029068467,0.053546093981192665,0.04394945943070022,0.039187653024991956,0.029785587267466385,0.0272102226147247,0.025752060167235767,0.027027783656448517
13,363,860,1,10.0,206.0,20.0,2.0,14.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,12,13,0.00838121414578295,0.0258669454913265,0.044510413601407214,0.0806669692704752,0.09326054475507106,0.059694313756484874,0.07833470916491578,0.06224423507279,0.034606760607867534,0.0764237633182015,0.057052578654039544,0.07664135611929426,0.05417725603282255,0.061867556030328855,0.07027177403003575,0.03786376149843668,0.025489872514531924,0.021967871932629435,0.014296247986299138,0.016381856017259243
14,364,860,1,819.0,206.0,21.0,2.0,15.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,13,14,0.00198343689992479,0.013564856805281458,0.02513094951137204,0.04056698323909134,0.04373147367403839,0.045560857441011585,0.06857483605501632,0.06785889145180171,0.06971881995897865,0.07280805971881552,0.05070657706192484,0.0926913612439649,0.0591235269225608,0.09685090855361714,0.08119041726300877,0.05554535517769538,0.044975835521193316,0.029881515263507026,0.02064081252606995,0.01889452571112602
15,365,860,1,811.0,3.0,14.0,2.0,16.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,14,15,0.02427733482277414,0.03795605241032525,0.04642188156699092,0.06489008512724735,0.04926346170695679,0.05912686925589182,0.0812560014291382,0.07255217989754437,0.09358110063153428,0.09343723121291195,0.03708229065581666,0.05492254324870771,0.050436126896605496,0.06489845072753712,0.04791851442490672,0.038332508610182996,0.025631749446994367,0.02135648395158512,0.019415953186394073,0.017243180789954595
16,366,860,1,13.0,6.0,16.0,2.0,17.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,14,16,0.046388161155106314,0.047532026332819055,0.06238027093717415,0.10334338090473891,0.09065202436879174,0.0719854126582124,0.09071345972404002,0.0668940454854667,0.04476212652357796,0.09701004896479981,0.04228577664454738,0.04446467229637874,0.045389231761633266,0.04006384615890561,0.03785711623796349,0.022643163094259205,0.012128520959198417,0.01242823143854678,0.01029174829504979,0.010786736058790315
17,367,860,1,5.0,207.0,18.0,2.0,18.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,15,17,0.013070403249207288,0.03158741837668696,0.04955950711470859,0.08571767484940644,0.09576038824631597,0.058045701309588214,0.0732400827489595,0.057845201059584,0.03298886621158846,0.07097225632736438,0.05294313372317141,0.07186056848258818,0.05131639110494692,0.059038933995107123,0.06994135984624443,0.038861087318107564,0.027349107759864065,0.02434820602391607,0.016031087499167797,0.01952262475347664
18,368,860,1,808.0,207.0,19.0,2.0,19.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,16,18,0.003129115235405027,0.016852881261034385,0.02845056330335921,0.04386277671605223,0.04566754191399488,0.04488330778098124,0.06484199056777182,0.06383991204853139,0.06668399520416243,0.06836420444460639,0.04765849633074057,0.08814331469216678,0.05669269057655244,0.09359123498200134,0.08165691599465037,0.05759385026403777,0.04857766414919763,0.03341129747016297,0.023352270138549285,0.02274597692604181
19,369,860,1,30.0,131.0,4.0,2.0,20.0,0,0,0,0,0,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,17,19,0.22559196146479893,0.09350196877286512,0.07622280455230107,0.09605328342326018,0.07696388269983814,0.037562896434651494,0.03650691930830453,0.02732554612017927,0.020813103506285867,0.03552476053691066,0.020968657565921478,0.027851166573126314,0.02483674052771464,0.027489836035460957,0.03831686077561135,0.027541897674715998,0.023434282874778556,0.026957300174361022,0.021154435008724957,0.0353816959701896
