round;position;Driver;Predicted driver;Cote Top 3;Model
18;3;Pérez;Verstappen;1,2;Random forest
19;1;Hamilton;Verstappen;1,2;Random forest
19;2;Verstappen;Bottas;2,3;Random forest
19;3;Bottas;Sainz;2,9;Random forest
21;1;Hamilton;Hamilton;1,2;Random forest
21;2;Verstappen;Verstappen;1,2;Random forest
21;3;Bottas;Bottas;2,6;Random forest
22;1;Verstappen;Hamilton;1,2;Random forest
22;2;Hamilton;Verstappen;1,2;Random forest
22;3;Sainz;Norris;5;Random forest
1;1;Hamilton;Verstappen;1,4;Decision tree
1;2;Verstappen;Hamilton;1,3;Decision tree
1;3;Bottas;Bottas;2,9;Decision tree
2;1;Verstappen;Hamilton;1,3;Decision tree
2;2;Hamilton;Pérez;2,1;Decision tree
2;3;Norris;Verstappen;1,4;Decision tree
3;1;Hamilton;Hamilton;1,3;Decision tree
3;2;Verstappen;Bottas;3,5;Decision tree
3;3;Bottas;Verstappen;1,4;Decision tree
4;1;Hamilton;Hamilton;1,3;Decision tree
4;2;Verstappen;Verstappen;1,4;Decision tree
4;3;Bottas;Bottas;3,5;Decision tree
5;1;Verstappen;Leclerc;2,3;Decision tree
5;2;Sainz;Verstappen;1,3;Decision tree
5;3;Norris;Bottas;2,3;Decision tree
6;1;Pérez;Hamilton;1,3;Decision tree
6;2;Vettel;Leclerc;2,6;Decision tree
6;3;Gasly;Verstappen;1,4;Decision tree
7;1;Verstappen;Verstappen;1,4;Decision tree
7;2;Hamilton;Hamilton;1,3;Decision tree
7;3;Pérez;Bottas;2,1;Decision tree
8;1;Verstappen;Verstappen;1,3;Decision tree
8;2;Hamilton;Hamilton;1,3;Decision tree
8;3;Bottas;Pérez;2,3;Decision tree
9;1;Verstappen;Verstappen;1,4;Decision tree
9;2;Bottas;Norris;9;Decision tree
9;3;Norris;Pérez;2,5;Decision tree
10;1;Hamilton;Verstappen;1,2;Decision tree
10;2;Leclerc;Hamilton;1,2;Decision tree
10;3;Bottas;Bottas;2,9;Decision tree
11;1;Ocon;Hamilton;1,2;Decision tree
11;2;Hamilton;Bottas;2,8;Decision tree
11;3;Sainz;Verstappen;1,2;Decision tree
