,driverId,classement_1052,points_1052,classement_1053,points_1053,classement_1054,points_1054,classement_1055,points_1055,classement_1056,points_1056,classement_1057,points_1057,classement_1059,points_1059,classement_1058,points_1058,classement_1060,points_1060,classement_1061,points_1061,classement_1062,points_1062,classement_1063,points_1063,classement_1064,points_1064,classement_1065,points_1065,classement_1066,points_1066,classement_1067,points_1067,classement_1070,points_1070,classement_1071,points_1071,classement_1072,points_1072,classement_1073,points_1073,points_totaux_1052,points_totaux_1053,points_totaux_1054,points_totaux_1055,points_totaux_1056,points_totaux_1057,points_totaux_1059,points_totaux_1058,points_totaux_1060,points_totaux_1061,points_totaux_1062,points_totaux_1063,points_totaux_1064,points_totaux_1065,points_totaux_1066,points_totaux_1067,points_totaux_1070,points_totaux_1071,points_totaux_1072,points_totaux_1073,classement_final
10,8.0,11.0,0.0,14.0,0.0,20.0,0.0,15.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,11.0,0.0,14.0,0.0,15.0,0.0,11.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,10.0,1.0,14.0,0.0,13.0,0.0,20.0,0.0,16.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0
11,841.0,12.0,0.0,15.0,0.0,15.0,0.0,17.0,0.0,15.0,0.0,13.0,0.0,14.0,0.0,15.0,0.0,13.0,0.0,14.0,0.0,5.0,10.0,14.0,0.0,14.0,0.0,15.0,0.0,16.0,0.0,13.0,0.0,14.0,0.0,14.0,0.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0
12,839.0,13.0,0.0,12.0,0.0,7.0,6.0,9.0,2.0,9.0,2.0,15.0,0.0,13.0,0.0,14.0,0.0,16.0,0.0,11.0,0.0,6.0,8.0,4.0,12.0,4.0,12.0,2.0,18.0,5.0,10.0,4.0,12.0,5.0,10.0,5.0,10.0,4.0,12.0,4.0,12.0,0.0,0.0,6.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,18.0,30.0,42.0,60.0,70.0,82.0,92.0,102.0,114.0,126.0,5.0
13,847.0,14.0,0.0,18.0,0.0,16.0,0.0,16.0,0.0,17.0,0.0,20.0,0.0,17.0,0.0,20.0,0.0,17.0,0.0,17.0,0.0,18.0,0.0,7.0,6.0,15.0,0.0,12.0,0.0,11.0,0.0,16.0,0.0,16.0,0.0,13.0,0.0,18.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,16.0
14,20.0,15.0,0.0,20.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,5.0,10.0,10.0,1.0,12.0,0.0,15.0,0.0,16.0,0.0,16.0,0.0,9.0,2.0,13.0,0.0,14.0,0.0,13.0,0.0,18.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0
15,854.0,16.0,0.0,16.0,0.0,17.0,0.0,19.0,0.0,20.0,0.0,17.0,0.0,19.0,0.0,17.0,0.0,19.0,0.0,20.0,0.0,19.0,0.0,18.0,0.0,18.0,0.0,17.0,0.0,20.0,0.0,19.0,0.0,20.0,0.0,19.0,0.0,20.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
16,842.0,17.0,0.0,11.0,0.0,10.0,1.0,10.0,1.0,7.0,6.0,6.0,8.0,8.0,4.0,16.0,0.0,9.0,2.0,13.0,0.0,9.0,2.0,10.0,1.0,7.0,6.0,19.0,0.0,14.0,0.0,10.0,1.0,9.0,2.0,11.0,0.0,9.0,2.0,11.0,0.0,0.0,0.0,1.0,2.0,8.0,16.0,20.0,20.0,22.0,22.0,24.0,25.0,31.0,31.0,31.0,32.0,34.0,34.0,36.0,36.0,11.0
17,849.0,18.0,0.0,19.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,19.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,17.0,0.0,12.0,0.0,20.0,0.0,13.0,0.0,18.0,0.0,17.0,0.0,17.0,0.0,16.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
18,4.0,19.0,0.0,13.0,0.0,8.0,4.0,12.0,0.0,11.0,0.0,9.0,2.0,9.0,2.0,9.0,2.0,10.0,1.0,9.0,2.0,8.0,4.0,5.0,10.0,6.0,8.0,6.0,8.0,7.0,6.0,8.0,4.0,7.0,6.0,7.0,6.0,8.0,4.0,8.0,4.0,0.0,0.0,4.0,4.0,4.0,6.0,8.0,10.0,11.0,13.0,17.0,27.0,35.0,43.0,49.0,53.0,59.0,65.0,69.0,73.0,9.0
19,853.0,20.0,0.0,17.0,0.0,19.0,0.0,20.0,0.0,19.0,0.0,18.0,0.0,20.0,0.0,19.0,0.0,20.0,0.0,19.0,0.0,20.0,0.0,19.0,0.0,19.0,0.0,18.0,0.0,19.0,0.0,20.0,0.0,19.0,0.0,18.0,0.0,19.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
20,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
